Athlete,Statistic,Team,Total
"Dwan, T",pickups,Queensland Firebirds,26
"Dwan, T",points,Queensland Firebirds,231
"Dwan, T",possessionChanges,Queensland Firebirds,66
"Dwan, T",possessions,Queensland Firebirds,589
"Dwan, T",quartersPlayed,Queensland Firebirds,56
"Dwan, T",rebounds,Queensland Firebirds,4
"Dwan, T",tossUpWin,Queensland Firebirds,0
"Dwyer, S",attempt_from_zone1,GIANTS Netball,0
"Dwyer, S",attempt_from_zone2,GIANTS Netball,2
"Dwyer, S",attempts1,GIANTS Netball,0
"Dwyer, S",attempts2,GIANTS Netball,2
"Dwyer, S",badHands,GIANTS Netball,0
"Dwyer, S",badPasses,GIANTS Netball,0
"Dwyer, S",blocked,GIANTS Netball,0
"Dwyer, S",blocks,GIANTS Netball,0
"Dwyer, S",breaks,GIANTS Netball,0
"Dwyer, S",centrePassReceives,GIANTS Netball,0
"Dwyer, S",centrePassToGoalPerc,GIANTS Netball,0
"Dwyer, S",contactPenalties,GIANTS Netball,1
"Dwyer, S",deflections,GIANTS Netball,0
"Dwyer, S",deflectionWithGain,GIANTS Netball,0
"Dwyer, S",deflectionWithNoGain,GIANTS Netball,0
"Dwyer, S",disposals,GIANTS Netball,2
"Dwyer, S",feeds,GIANTS Netball,0
"Dwyer, S",feedWithAttempt,GIANTS Netball,0
"Dwyer, S",gain,GIANTS Netball,0
"Dwyer, S",gainToGoalPerc,GIANTS Netball,0
"Dwyer, S",generalPlayTurnovers,GIANTS Netball,0
"Dwyer, S",goal_from_zone1,GIANTS Netball,0
"Dwyer, S",goal_from_zone2,GIANTS Netball,2
"Dwyer, S",goal1,GIANTS Netball,0
"Dwyer, S",goal2,GIANTS Netball,2
"Dwyer, S",goalAssists,GIANTS Netball,0
"Dwyer, S",goalAttempts,GIANTS Netball,2
"Dwyer, S",goalMisses,GIANTS Netball,0
"Dwyer, S",goals,GIANTS Netball,2
"Dwyer, S",interceptPassThrown,GIANTS Netball,0
"Dwyer, S",intercepts,GIANTS Netball,0
"Dwyer, S",minutesPlayed,GIANTS Netball,8
"Dwyer, S",missedGoalTurnover,GIANTS Netball,0
"Dwyer, S",netPoints,GIANTS Netball,5.5
"Dwyer, S",obstructionPenalties,GIANTS Netball,0
"Dwyer, S",offsides,GIANTS Netball,0
"Dwyer, S",passes,GIANTS Netball,0
"Dwyer, S",penalties,GIANTS Netball,1
"Dwyer, S",pickups,GIANTS Netball,0
"Dwyer, S",points,GIANTS Netball,4
"Dwyer, S",possessionChanges,GIANTS Netball,0
"Dwyer, S",possessions,GIANTS Netball,2
"Dwyer, S",quartersPlayed,GIANTS Netball,2
"Dwyer, S",rebounds,GIANTS Netball,0
"Dwyer, S",tossUpWin,GIANTS Netball,0
"Eagland, S",attempt_from_zone1,West Coast Fever,0
"Eagland, S",attempt_from_zone2,West Coast Fever,0
"Eagland, S",attempts1,West Coast Fever,0
"Eagland, S",attempts2,West Coast Fever,0
"Eagland, S",badHands,West Coast Fever,0
"Eagland, S",badPasses,West Coast Fever,0
"Eagland, S",blocked,West Coast Fever,0
"Eagland, S",blocks,West Coast Fever,0
"Eagland, S",breaks,West Coast Fever,0
"Eagland, S",centrePassReceives,West Coast Fever,6
"Eagland, S",centrePassToGoalPerc,West Coast Fever,0
"Eagland, S",contactPenalties,West Coast Fever,8
"Eagland, S",deflections,West Coast Fever,3
"Eagland, S",deflectionWithGain,West Coast Fever,0
"Eagland, S",deflectionWithNoGain,West Coast Fever,3
"Eagland, S",disposals,West Coast Fever,2
"Eagland, S",feeds,West Coast Fever,0
"Eagland, S",feedWithAttempt,West Coast Fever,0
"Eagland, S",gain,West Coast Fever,0
"Eagland, S",gainToGoalPerc,West Coast Fever,0
"Eagland, S",generalPlayTurnovers,West Coast Fever,4
"Eagland, S",goal_from_zone1,West Coast Fever,0
"Eagland, S",goal_from_zone2,West Coast Fever,0
"Eagland, S",goal1,West Coast Fever,0
"Eagland, S",goal2,West Coast Fever,0
"Eagland, S",goalAssists,West Coast Fever,0
"Eagland, S",goalAttempts,West Coast Fever,0
"Eagland, S",goalMisses,West Coast Fever,0
"Eagland, S",goals,West Coast Fever,0
"Eagland, S",interceptPassThrown,West Coast Fever,3
"Eagland, S",intercepts,West Coast Fever,0
"Eagland, S",minutesPlayed,West Coast Fever,68
"Eagland, S",missedGoalTurnover,West Coast Fever,0
"Eagland, S",netPoints,West Coast Fever,-10
"Eagland, S",obstructionPenalties,West Coast Fever,3
"Eagland, S",offsides,West Coast Fever,1
"Eagland, S",passes,West Coast Fever,0
"Eagland, S",penalties,West Coast Fever,12
"Eagland, S",pickups,West Coast Fever,2
"Eagland, S",points,West Coast Fever,0
"Eagland, S",possessionChanges,West Coast Fever,4
"Eagland, S",possessions,West Coast Fever,11
"Eagland, S",quartersPlayed,West Coast Fever,9
"Eagland, S",rebounds,West Coast Fever,0
"Eagland, S",tossUpWin,West Coast Fever,0
"Eddy, K",attempt_from_zone1,Melbourne Vixens,0
"Eddy, K",attempt_from_zone2,Melbourne Vixens,0
"Eddy, K",attempts1,Melbourne Vixens,0
"Eddy, K",attempts2,Melbourne Vixens,0
"Eddy, K",badHands,Melbourne Vixens,1
"Eddy, K",badPasses,Melbourne Vixens,2
"Eddy, K",blocked,Melbourne Vixens,0
"Eddy, K",blocks,Melbourne Vixens,0
"Eddy, K",breaks,Melbourne Vixens,4
"Eddy, K",centrePassReceives,Melbourne Vixens,56
"Eddy, K",centrePassToGoalPerc,Melbourne Vixens,0
"Eddy, K",contactPenalties,Melbourne Vixens,75
"Eddy, K",deflections,Melbourne Vixens,29
"Eddy, K",deflectionWithGain,Melbourne Vixens,2
"Eddy, K",deflectionWithNoGain,Melbourne Vixens,27
"Eddy, K",disposals,Melbourne Vixens,15
"Eddy, K",feeds,Melbourne Vixens,4
"Eddy, K",feedWithAttempt,Melbourne Vixens,4
"Eddy, K",gain,Melbourne Vixens,27
"Eddy, K",gainToGoalPerc,Melbourne Vixens,0
"Eddy, K",generalPlayTurnovers,Melbourne Vixens,16
"Eddy, K",goal_from_zone1,Melbourne Vixens,0
"Eddy, K",goal_from_zone2,Melbourne Vixens,0
"Eddy, K",goal1,Melbourne Vixens,0
"Eddy, K",goal2,Melbourne Vixens,0
"Eddy, K",goalAssists,Melbourne Vixens,4
"Eddy, K",goalAttempts,Melbourne Vixens,0
"Eddy, K",goalMisses,Melbourne Vixens,0
"Eddy, K",goals,Melbourne Vixens,0
"Eddy, K",interceptPassThrown,Melbourne Vixens,7
"Eddy, K",intercepts,Melbourne Vixens,18
"Eddy, K",minutesPlayed,Melbourne Vixens,790
"Eddy, K",missedGoalTurnover,Melbourne Vixens,0
"Eddy, K",netPoints,Melbourne Vixens,379
"Eddy, K",obstructionPenalties,Melbourne Vixens,25
"Eddy, K",offsides,Melbourne Vixens,3
"Eddy, K",passes,Melbourne Vixens,4
"Eddy, K",penalties,Melbourne Vixens,100
"Eddy, K",pickups,Melbourne Vixens,23
"Eddy, K",points,Melbourne Vixens,0
"Eddy, K",possessionChanges,Melbourne Vixens,16
"Eddy, K",possessions,Melbourne Vixens,132
"Eddy, K",quartersPlayed,Melbourne Vixens,54
"Eddy, K",rebounds,Melbourne Vixens,7
"Eddy, K",tossUpWin,Melbourne Vixens,0
"Ellis, R",attempt_from_zone1,Queensland Firebirds,0
"Ellis, R",attempt_from_zone2,Queensland Firebirds,0
"Ellis, R",attempts1,Queensland Firebirds,0
"Ellis, R",attempts2,Queensland Firebirds,0
"Ellis, R",badHands,Queensland Firebirds,0
"Ellis, R",badPasses,Queensland Firebirds,1
"Ellis, R",blocked,Queensland Firebirds,0
"Ellis, R",blocks,Queensland Firebirds,2
"Ellis, R",breaks,Queensland Firebirds,0
"Ellis, R",centrePassReceives,Queensland Firebirds,0
"Ellis, R",centrePassToGoalPerc,Queensland Firebirds,0
"Ellis, R",contactPenalties,Queensland Firebirds,32
"Ellis, R",deflections,Queensland Firebirds,10
"Ellis, R",deflectionWithGain,Queensland Firebirds,2
"Ellis, R",deflectionWithNoGain,Queensland Firebirds,8
"Ellis, R",disposals,Queensland Firebirds,16
"Ellis, R",feeds,Queensland Firebirds,0
"Ellis, R",feedWithAttempt,Queensland Firebirds,0
"Ellis, R",gain,Queensland Firebirds,7
"Ellis, R",gainToGoalPerc,Queensland Firebirds,0
"Ellis, R",generalPlayTurnovers,Queensland Firebirds,1
"Ellis, R",goal_from_zone1,Queensland Firebirds,0
"Ellis, R",goal_from_zone2,Queensland Firebirds,0
"Ellis, R",goal1,Queensland Firebirds,0
"Ellis, R",goal2,Queensland Firebirds,0
"Ellis, R",goalAssists,Queensland Firebirds,0
"Ellis, R",goalAttempts,Queensland Firebirds,0
"Ellis, R",goalMisses,Queensland Firebirds,0
"Ellis, R",goals,Queensland Firebirds,0
"Ellis, R",interceptPassThrown,Queensland Firebirds,0
"Ellis, R",intercepts,Queensland Firebirds,3
"Ellis, R",minutesPlayed,Queensland Firebirds,129
"Ellis, R",missedGoalTurnover,Queensland Firebirds,0
"Ellis, R",netPoints,Queensland Firebirds,119.5
"Ellis, R",obstructionPenalties,Queensland Firebirds,5
"Ellis, R",offsides,Queensland Firebirds,0
"Ellis, R",passes,Queensland Firebirds,0
"Ellis, R",penalties,Queensland Firebirds,37
"Ellis, R",pickups,Queensland Firebirds,5
"Ellis, R",points,Queensland Firebirds,0
"Ellis, R",possessionChanges,Queensland Firebirds,1
"Ellis, R",possessions,Queensland Firebirds,28
"Ellis, R",quartersPlayed,Queensland Firebirds,17
"Ellis, R",rebounds,Queensland Firebirds,2
"Ellis, R",tossUpWin,Queensland Firebirds,0
"Fowler, J",attempt_from_zone1,West Coast Fever,815
"Fowler, J",attempt_from_zone2,West Coast Fever,33
"Fowler, J",attempts1,West Coast Fever,815
"Fowler, J",attempts2,West Coast Fever,33
"Fowler, J",badHands,West Coast Fever,18
"Fowler, J",badPasses,West Coast Fever,1
"Fowler, J",blocked,West Coast Fever,0
"Fowler, J",blocks,West Coast Fever,0
"Fowler, J",breaks,West Coast Fever,0
"Fowler, J",centrePassReceives,West Coast Fever,0
"Fowler, J",centrePassToGoalPerc,West Coast Fever,0
"Fowler, J",contactPenalties,West Coast Fever,20
"Fowler, J",deflections,West Coast Fever,9
"Fowler, J",deflectionWithGain,West Coast Fever,1
"Fowler, J",deflectionWithNoGain,West Coast Fever,3
"Fowler, J",disposals,West Coast Fever,881
"Fowler, J",feeds,West Coast Fever,33
"Fowler, J",feedWithAttempt,West Coast Fever,17
"Fowler, J",gain,West Coast Fever,2
"Fowler, J",gainToGoalPerc,West Coast Fever,0
"Fowler, J",generalPlayTurnovers,West Coast Fever,35
"Fowler, J",goal_from_zone1,West Coast Fever,782
"Fowler, J",goal_from_zone2,West Coast Fever,13
"Fowler, J",goal1,West Coast Fever,782
"Fowler, J",goal2,West Coast Fever,13
"Fowler, J",goalAssists,West Coast Fever,9
"Fowler, J",goalAttempts,West Coast Fever,848
"Fowler, J",goalMisses,West Coast Fever,53
"Fowler, J",goals,West Coast Fever,795
"Fowler, J",interceptPassThrown,West Coast Fever,3
"Fowler, J",intercepts,West Coast Fever,1
"Fowler, J",minutesPlayed,West Coast Fever,830
"Fowler, J",missedGoalTurnover,West Coast Fever,11
"Fowler, J",netPoints,West Coast Fever,1525.5
"Fowler, J",obstructionPenalties,West Coast Fever,13
"Fowler, J",offsides,West Coast Fever,0
"Fowler, J",passes,West Coast Fever,33
"Fowler, J",penalties,West Coast Fever,33
"Fowler, J",pickups,West Coast Fever,19
"Fowler, J",points,West Coast Fever,808
"Fowler, J",possessionChanges,West Coast Fever,46
"Fowler, J",possessions,West Coast Fever,928
"Fowler, J",quartersPlayed,West Coast Fever,56
"Fowler, J",rebounds,West Coast Fever,60
"Fowler, J",tossUpWin,West Coast Fever,0
"Francis, S",attempt_from_zone1,West Coast Fever,0
"Francis, S",attempt_from_zone2,West Coast Fever,0
"Francis, S",attempts1,West Coast Fever,0
"Francis, S",attempts2,West Coast Fever,0
"Francis, S",badHands,West Coast Fever,0
"Francis, S",badPasses,West Coast Fever,6
"Francis, S",blocked,West Coast Fever,0
"Francis, S",blocks,West Coast Fever,1
"Francis, S",breaks,West Coast Fever,5
"Francis, S",centrePassReceives,West Coast Fever,65
"Francis, S",centrePassToGoalPerc,West Coast Fever,0
"Francis, S",contactPenalties,West Coast Fever,70
"Francis, S",deflections,West Coast Fever,29
"Francis, S",deflectionWithGain,West Coast Fever,5
"Francis, S",deflectionWithNoGain,West Coast Fever,23
"Francis, S",disposals,West Coast Fever,11
"Francis, S",feeds,West Coast Fever,1
"Francis, S",feedWithAttempt,West Coast Fever,0
"Francis, S",gain,West Coast Fever,24
"Francis, S",gainToGoalPerc,West Coast Fever,0
"Francis, S",generalPlayTurnovers,West Coast Fever,22
"Francis, S",goal_from_zone1,West Coast Fever,0
"Francis, S",goal_from_zone2,West Coast Fever,0
"Francis, S",goal1,West Coast Fever,0
"Francis, S",goal2,West Coast Fever,0
"Francis, S",goalAssists,West Coast Fever,0
"Francis, S",goalAttempts,West Coast Fever,0
"Francis, S",goalMisses,West Coast Fever,0
"Francis, S",goals,West Coast Fever,0
"Francis, S",interceptPassThrown,West Coast Fever,11
"Francis, S",intercepts,West Coast Fever,11
"Francis, S",minutesPlayed,West Coast Fever,608
"Francis, S",missedGoalTurnover,West Coast Fever,0
"Francis, S",netPoints,West Coast Fever,286
"Francis, S",obstructionPenalties,West Coast Fever,13
"Francis, S",offsides,West Coast Fever,2
"Francis, S",passes,West Coast Fever,1
"Francis, S",penalties,West Coast Fever,84
"Francis, S",pickups,West Coast Fever,22
"Francis, S",points,West Coast Fever,0
"Francis, S",possessionChanges,West Coast Fever,22
"Francis, S",possessions,West Coast Fever,131
"Francis, S",quartersPlayed,West Coast Fever,48
"Francis, S",rebounds,West Coast Fever,8
"Francis, S",tossUpWin,West Coast Fever,0
"Fraser, T",attempt_from_zone1,NSW Swifts,0
"Fraser, T",attempt_from_zone2,NSW Swifts,0
"Fraser, T",attempts1,NSW Swifts,0
"Fraser, T",attempts2,NSW Swifts,0
"Fraser, T",badHands,NSW Swifts,1
"Fraser, T",badPasses,NSW Swifts,1
"Fraser, T",blocked,NSW Swifts,0
"Fraser, T",blocks,NSW Swifts,0
"Fraser, T",breaks,NSW Swifts,0
"Fraser, T",centrePassReceives,NSW Swifts,9
"Fraser, T",centrePassToGoalPerc,NSW Swifts,0
"Fraser, T",contactPenalties,NSW Swifts,16
"Fraser, T",deflections,NSW Swifts,1
"Fraser, T",deflectionWithGain,NSW Swifts,0
"Fraser, T",deflectionWithNoGain,NSW Swifts,1
"Fraser, T",disposals,NSW Swifts,66
"Fraser, T",feeds,NSW Swifts,62
"Fraser, T",feedWithAttempt,NSW Swifts,41
"Fraser, T",gain,NSW Swifts,0
"Fraser, T",gainToGoalPerc,NSW Swifts,0
"Fraser, T",generalPlayTurnovers,NSW Swifts,6
"Fraser, T",goal_from_zone1,NSW Swifts,0
"Fraser, T",goal_from_zone2,NSW Swifts,0
"Fraser, T",goal1,NSW Swifts,0
"Fraser, T",goal2,NSW Swifts,0
"Fraser, T",goalAssists,NSW Swifts,32
"Fraser, T",goalAttempts,NSW Swifts,0
"Fraser, T",goalMisses,NSW Swifts,0
"Fraser, T",goals,NSW Swifts,0
"Fraser, T",interceptPassThrown,NSW Swifts,2
"Fraser, T",intercepts,NSW Swifts,0
"Fraser, T",minutesPlayed,NSW Swifts,114
"Fraser, T",missedGoalTurnover,NSW Swifts,0
"Fraser, T",netPoints,NSW Swifts,115
"Fraser, T",obstructionPenalties,NSW Swifts,8
"Fraser, T",offsides,NSW Swifts,2
"Fraser, T",passes,NSW Swifts,62
"Fraser, T",penalties,NSW Swifts,25
"Fraser, T",pickups,NSW Swifts,6
"Fraser, T",points,NSW Swifts,0
"Fraser, T",possessionChanges,NSW Swifts,6
"Fraser, T",possessions,NSW Swifts,21
"Fraser, T",quartersPlayed,NSW Swifts,19
"Fraser, T",rebounds,NSW Swifts,0
"Fraser, T",tossUpWin,NSW Swifts,0
"Garbin, S",attempt_from_zone1,NSW Swifts,173
"Garbin, S",attempt_from_zone2,NSW Swifts,20
"Garbin, S",attempts1,NSW Swifts,173
"Garbin, S",attempts2,NSW Swifts,20
"Garbin, S",badHands,NSW Swifts,4
"Garbin, S",badPasses,NSW Swifts,6
"Garbin, S",blocked,NSW Swifts,0
"Garbin, S",blocks,NSW Swifts,0
"Garbin, S",breaks,NSW Swifts,0
"Garbin, S",centrePassReceives,NSW Swifts,118
"Garbin, S",centrePassToGoalPerc,NSW Swifts,0
"Garbin, S",contactPenalties,NSW Swifts,27
"Garbin, S",deflections,NSW Swifts,10
"Garbin, S",deflectionWithGain,NSW Swifts,2
"Garbin, S",deflectionWithNoGain,NSW Swifts,6
"Garbin, S",disposals,NSW Swifts,337
"Garbin, S",feeds,NSW Swifts,130
"Garbin, S",feedWithAttempt,NSW Swifts,95
"Garbin, S",gain,NSW Swifts,6
"Garbin, S",gainToGoalPerc,NSW Swifts,0
"Garbin, S",generalPlayTurnovers,NSW Swifts,36
"Garbin, S",goal_from_zone1,NSW Swifts,135
"Garbin, S",goal_from_zone2,NSW Swifts,11
"Garbin, S",goal1,NSW Swifts,135
"Garbin, S",goal2,NSW Swifts,11
"Garbin, S",goalAssists,NSW Swifts,83
"Garbin, S",goalAttempts,NSW Swifts,193
"Garbin, S",goalMisses,NSW Swifts,47
"Garbin, S",goals,NSW Swifts,146
"Garbin, S",interceptPassThrown,NSW Swifts,13
"Garbin, S",intercepts,NSW Swifts,4
"Garbin, S",minutesPlayed,NSW Swifts,326
"Garbin, S",missedGoalTurnover,NSW Swifts,8
"Garbin, S",netPoints,NSW Swifts,455
"Garbin, S",obstructionPenalties,NSW Swifts,1
"Garbin, S",offsides,NSW Swifts,1
"Garbin, S",passes,NSW Swifts,130
"Garbin, S",penalties,NSW Swifts,28
"Garbin, S",pickups,NSW Swifts,17
"Garbin, S",points,NSW Swifts,157
"Garbin, S",possessionChanges,NSW Swifts,44
"Garbin, S",possessions,NSW Swifts,367
"Garbin, S",quartersPlayed,NSW Swifts,37
"Garbin, S",rebounds,NSW Swifts,18
"Garbin, S",tossUpWin,NSW Swifts,0
"Gardner, M",attempt_from_zone1,Queensland Firebirds,0
"Gardner, M",attempt_from_zone2,Queensland Firebirds,0
"Gardner, M",attempts1,Queensland Firebirds,0
"Gardner, M",attempts2,Queensland Firebirds,0
"Gardner, M",badHands,Queensland Firebirds,2
"Gardner, M",badPasses,Queensland Firebirds,3
"Gardner, M",blocked,Queensland Firebirds,0
"Gardner, M",blocks,Queensland Firebirds,0
"Gardner, M",breaks,Queensland Firebirds,1
"Gardner, M",centrePassReceives,Queensland Firebirds,56
"Gardner, M",centrePassToGoalPerc,Queensland Firebirds,0
"Gardner, M",contactPenalties,Queensland Firebirds,18
"Gardner, M",deflections,Queensland Firebirds,5
"Gardner, M",deflectionWithGain,Queensland Firebirds,2
"Gardner, M",deflectionWithNoGain,Queensland Firebirds,3
"Gardner, M",disposals,Queensland Firebirds,101
"Gardner, M",feeds,Queensland Firebirds,97
"Gardner, M",feedWithAttempt,Queensland Firebirds,66
"Gardner, M",gain,Queensland Firebirds,3
"Gardner, M",gainToGoalPerc,Queensland Firebirds,0
"Gardner, M",generalPlayTurnovers,Queensland Firebirds,15
"Gardner, M",goal_from_zone1,Queensland Firebirds,0
"Gardner, M",goal_from_zone2,Queensland Firebirds,0
"Gardner, M",goal1,Queensland Firebirds,0
"Gardner, M",goal2,Queensland Firebirds,0
"Gardner, M",goalAssists,Queensland Firebirds,44
"Gardner, M",goalAttempts,Queensland Firebirds,0
"Gardner, M",goalMisses,Queensland Firebirds,0
"Gardner, M",goals,Queensland Firebirds,0
"Gardner, M",interceptPassThrown,Queensland Firebirds,5
"Gardner, M",intercepts,Queensland Firebirds,1
"Gardner, M",minutesPlayed,Queensland Firebirds,187
"Gardner, M",missedGoalTurnover,Queensland Firebirds,0
"Gardner, M",netPoints,Queensland Firebirds,142.5
"Gardner, M",obstructionPenalties,Queensland Firebirds,3
"Gardner, M",offsides,Queensland Firebirds,2
"Gardner, M",passes,Queensland Firebirds,97
"Gardner, M",penalties,Queensland Firebirds,21
"Gardner, M",pickups,Queensland Firebirds,3
"Gardner, M",points,Queensland Firebirds,0
"Gardner, M",possessionChanges,Queensland Firebirds,15
"Gardner, M",possessions,Queensland Firebirds,64
"Gardner, M",quartersPlayed,Queensland Firebirds,21
"Gardner, M",rebounds,Queensland Firebirds,0
"Gardner, M",tossUpWin,Queensland Firebirds,0
"Garrett, M",attempt_from_zone1,Collingwood Magpies,0
"Garrett, M",attempt_from_zone2,Collingwood Magpies,0
"Garrett, M",attempts1,Collingwood Magpies,0
"Garrett, M",attempts2,Collingwood Magpies,0
"Garrett, M",badHands,Collingwood Magpies,0
"Garrett, M",badPasses,Collingwood Magpies,1
"Garrett, M",blocked,Collingwood Magpies,0
"Garrett, M",blocks,Collingwood Magpies,0
"Garrett, M",breaks,Collingwood Magpies,2
"Garrett, M",centrePassReceives,Collingwood Magpies,19
"Garrett, M",centrePassToGoalPerc,Collingwood Magpies,0
"Garrett, M",contactPenalties,Collingwood Magpies,44
"Garrett, M",deflections,Collingwood Magpies,12
"Garrett, M",deflectionWithGain,Collingwood Magpies,3
"Garrett, M",deflectionWithNoGain,Collingwood Magpies,9
"Garrett, M",disposals,Collingwood Magpies,4
"Garrett, M",feeds,Collingwood Magpies,1
"Garrett, M",feedWithAttempt,Collingwood Magpies,1
"Garrett, M",gain,Collingwood Magpies,10
"Garrett, M",gainToGoalPerc,Collingwood Magpies,0
"Garrett, M",generalPlayTurnovers,Collingwood Magpies,9
"Garrett, M",goal_from_zone1,Collingwood Magpies,0
"Garrett, M",goal_from_zone2,Collingwood Magpies,0
"Garrett, M",goal1,Collingwood Magpies,0
"Garrett, M",goal2,Collingwood Magpies,0
"Garrett, M",goalAssists,Collingwood Magpies,1
"Garrett, M",goalAttempts,Collingwood Magpies,0
"Garrett, M",goalMisses,Collingwood Magpies,0
"Garrett, M",goals,Collingwood Magpies,0
"Garrett, M",interceptPassThrown,Collingwood Magpies,4
"Garrett, M",intercepts,Collingwood Magpies,3
"Garrett, M",minutesPlayed,Collingwood Magpies,228
"Garrett, M",missedGoalTurnover,Collingwood Magpies,0
"Garrett, M",netPoints,Collingwood Magpies,116
"Garrett, M",obstructionPenalties,Collingwood Magpies,18
"Garrett, M",offsides,Collingwood Magpies,2
"Garrett, M",passes,Collingwood Magpies,1
"Garrett, M",penalties,Collingwood Magpies,62
"Garrett, M",pickups,Collingwood Magpies,13
"Garrett, M",points,Collingwood Magpies,0
"Garrett, M",possessionChanges,Collingwood Magpies,9
"Garrett, M",possessions,Collingwood Magpies,50
"Garrett, M",quartersPlayed,Collingwood Magpies,28
"Garrett, M",rebounds,Collingwood Magpies,4
"Garrett, M",tossUpWin,Collingwood Magpies,0
"Glasgow, S",attempt_from_zone1,Adelaide Thunderbirds,58
"Glasgow, S",attempt_from_zone2,Adelaide Thunderbirds,27
"Glasgow, S",attempts1,Adelaide Thunderbirds,58
"Glasgow, S",attempts2,Adelaide Thunderbirds,27
"Glasgow, S",badHands,Adelaide Thunderbirds,1
"Glasgow, S",badPasses,Adelaide Thunderbirds,0
"Glasgow, S",blocked,Adelaide Thunderbirds,0
"Glasgow, S",blocks,Adelaide Thunderbirds,0
"Glasgow, S",breaks,Adelaide Thunderbirds,0
"Glasgow, S",centrePassReceives,Adelaide Thunderbirds,33
"Glasgow, S",centrePassToGoalPerc,Adelaide Thunderbirds,0
"Glasgow, S",contactPenalties,Adelaide Thunderbirds,8
"Glasgow, S",deflections,Adelaide Thunderbirds,4
"Glasgow, S",deflectionWithGain,Adelaide Thunderbirds,0
"Glasgow, S",deflectionWithNoGain,Adelaide Thunderbirds,4
"Glasgow, S",disposals,Adelaide Thunderbirds,117
"Glasgow, S",feeds,Adelaide Thunderbirds,28
"Glasgow, S",feedWithAttempt,Adelaide Thunderbirds,21
"Glasgow, S",gain,Adelaide Thunderbirds,1
"Glasgow, S",gainToGoalPerc,Adelaide Thunderbirds,0
"Glasgow, S",generalPlayTurnovers,Adelaide Thunderbirds,12
"Glasgow, S",goal_from_zone1,Adelaide Thunderbirds,46
"Glasgow, S",goal_from_zone2,Adelaide Thunderbirds,12
"Glasgow, S",goal1,Adelaide Thunderbirds,46
"Glasgow, S",goal2,Adelaide Thunderbirds,12
"Glasgow, S",goalAssists,Adelaide Thunderbirds,18
"Glasgow, S",goalAttempts,Adelaide Thunderbirds,85
"Glasgow, S",goalMisses,Adelaide Thunderbirds,27
"Glasgow, S",goals,Adelaide Thunderbirds,58
"Glasgow, S",interceptPassThrown,Adelaide Thunderbirds,5
"Glasgow, S",intercepts,Adelaide Thunderbirds,1
"Glasgow, S",minutesPlayed,Adelaide Thunderbirds,185
"Glasgow, S",missedGoalTurnover,Adelaide Thunderbirds,10
"Glasgow, S",netPoints,Adelaide Thunderbirds,96
"Glasgow, S",obstructionPenalties,Adelaide Thunderbirds,2
"Glasgow, S",offsides,Adelaide Thunderbirds,2
"Glasgow, S",passes,Adelaide Thunderbirds,28
"Glasgow, S",penalties,Adelaide Thunderbirds,10
"Glasgow, S",pickups,Adelaide Thunderbirds,3
"Glasgow, S",points,Adelaide Thunderbirds,70
"Glasgow, S",possessionChanges,Adelaide Thunderbirds,22
"Glasgow, S",possessions,Adelaide Thunderbirds,142
"Glasgow, S",quartersPlayed,Adelaide Thunderbirds,20
"Glasgow, S",rebounds,Adelaide Thunderbirds,14
"Glasgow, S",tossUpWin,Adelaide Thunderbirds,0
"Gooden, S",attempt_from_zone1,Adelaide Thunderbirds,20
"Gooden, S",attempt_from_zone2,Adelaide Thunderbirds,29
"Gooden, S",attempts1,Adelaide Thunderbirds,20
"Gooden, S",attempts2,Adelaide Thunderbirds,29
"Gooden, S",badHands,Adelaide Thunderbirds,0
"Gooden, S",badPasses,Adelaide Thunderbirds,5
"Gooden, S",blocked,Adelaide Thunderbirds,0
"Gooden, S",blocks,Adelaide Thunderbirds,0
"Gooden, S",breaks,Adelaide Thunderbirds,1
"Gooden, S",centrePassReceives,Adelaide Thunderbirds,24
"Gooden, S",centrePassToGoalPerc,Adelaide Thunderbirds,0
"Gooden, S",contactPenalties,Adelaide Thunderbirds,7
"Gooden, S",deflections,Adelaide Thunderbirds,0
"Gooden, S",deflectionWithGain,Adelaide Thunderbirds,0
"Gooden, S",deflectionWithNoGain,Adelaide Thunderbirds,0
"Gooden, S",disposals,Adelaide Thunderbirds,73
"Gooden, S",feeds,Adelaide Thunderbirds,20
"Gooden, S",feedWithAttempt,Adelaide Thunderbirds,18
"Gooden, S",gain,Adelaide Thunderbirds,1
"Gooden, S",gainToGoalPerc,Adelaide Thunderbirds,0
"Gooden, S",generalPlayTurnovers,Adelaide Thunderbirds,8
"Gooden, S",goal_from_zone1,Adelaide Thunderbirds,12
"Gooden, S",goal_from_zone2,Adelaide Thunderbirds,14
"Gooden, S",goal1,Adelaide Thunderbirds,12
"Gooden, S",goal2,Adelaide Thunderbirds,14
"Gooden, S",goalAssists,Adelaide Thunderbirds,17
"Gooden, S",goalAttempts,Adelaide Thunderbirds,49
"Gooden, S",goalMisses,Adelaide Thunderbirds,23
"Gooden, S",goals,Adelaide Thunderbirds,26
"Gooden, S",interceptPassThrown,Adelaide Thunderbirds,2
"Gooden, S",intercepts,Adelaide Thunderbirds,1
"Gooden, S",minutesPlayed,Adelaide Thunderbirds,112
"Gooden, S",missedGoalTurnover,Adelaide Thunderbirds,5
"Gooden, S",netPoints,Adelaide Thunderbirds,25
"Gooden, S",obstructionPenalties,Adelaide Thunderbirds,4
"Gooden, S",offsides,Adelaide Thunderbirds,0
